name,age,nationality,gender,pronouns,aliases
Idris Elba,53,British,male,,
Dorian Electra,33,American,non-binary,,
Eminem,53,American,male,,
Recep Tayyip Erdoğan,72,Turkish,male,,
Tobi Eriksen,22,Danish,male,,
Remco Evenepoel,26,Belgian,male,,
Golshifteh Farahani,42,Universal,female,,
Pope Francis,89,Argentine,male,,
Shelly-Ann Fraser-Pryce,39,Jamaican,female,,
Mette Frederiksen,48,Danish,female,,
Bill Gates,70,American,male,,
Coco Gauff,22,American,female,,
Greta Gerwig,42,American,female,,
Selena Gomez,33,American,female,,
Peggy Gou,34,South Korean,female,,
Eileen Gu,22,Universal,female,,
Arda Güler,21,Turkish,male,,
Erling Haaland,25,Norwegian,male,,
Ahmed Hafnaoui,23,Tunisian,male,,
Lewis Hamilton,41,British,male,,
Yuzuru Hanyu,31,Japanese,male,,
Yuval Noah Harari,50,Israeli,male,,
Kamala Harris,61,American,female,,
Shakib Al Hasan,39,Bangladeshi,male,,
Samia Suluhu Hassan,66,Tanzanian,female,,
Sifan Hassan,33,Universal,female,,
Angel Haze,34,American,non-binary,,
Son Heung-min,33,South Korean,male,,
Hozier,36,Irish,male,,
Jensen Huang,63,Universal,male,,
Fares Ibrahim,27,Qatari,male,,
Hindou Oumarou Ibrahim,42,Chadian,female,,
King Charles III,77,British,male,,
Mahesh Itadi,29,Indian,non-binary,,
Shreyas Iyer,31,Indian,male,,
Ons Jabeur,31,Tunisian,female,,
Bishop T.D. Jakes,68,American,male,,
Katrín Jakobsdóttir,50,Icelandic,female,,
LeBron James,41,American,male,,
Xi Jinping,72,Chinese,male,,
Dwayne Johnson,53,Samoan,male,,
Bong Joon-ho,56,South Korean,male,,
HoYeon Jung,31,South Korean,female,,
Vinícius Júnior,25,Brazilian,male,,
Kaja Kallas,48,Estonian,female,,
Han Kang,55,South Korean,female,,
Rashid Khan,27,Afghan,male,,
Shah Rukh Khan,60,Indian,male,,
Sherin Khankan,51,Danish,female,,
Hina Rabbani Khar,48,Pakistani,female,,
Angelique Kidjo,65,Beninese,female,,
Chloe Kim,26,Universal,female,,
Mina Kimes,40,American,female,,
Patriarch Kirill,79,Russian,male,,
Lydia Ko,29,New Zealander,female,,
Christina Koch,47,American,female,,
Virat Kohli,37,Indian,male,,
Yayoi Kusama,97,Japanese,female,,
Mon Laferte,42,Latin-American,female,,
Dalai Lama,90,Tibetan,male,,
Khaby Lame,26,Universal,male,,
Zara Larsson,28,Swedish,female,,
Rayssa Leal,18,Brazilian,female,,
Charles Leclerc,28,Monégasque,male,,
Ursula von der Leyen,67,German,female,,
Dua Lipa,30,Albanian,female,,
Emmanuel Macron,48,French,male,,
Post Malone,30,American,male,,
Chella Man,27,Chinese,non-binary,,
Sanna Marin,40,Finnish,female,,
Kylian Mbappé,27,French,male,,
Thuso Mbedu,34,South African,female,,
Summer McIntosh,19,Canadian,female,,
Kaylee McKeown,24,Australian,female,,
Giorgia Meloni,49,Italian,female,,
Lionel Messi,38,Argentine,male,,
Mads Mikkelsen,60,Danish,male,,
Javier Milei,55,Argentine,male,,
Lin-Manuel Miranda,46,American,male,,
Narendra Modi,75,Indian,male,,
Janelle Monáe,40,American,non-binary,,
Indya Moore,31,American,non-binary,,
Mia Mottley,60,Barbadian,female,,
Wagner Moura,49,Brazilian,male,,
Cillian Murphy,49,Irish,male,,
Sudha Murty,75,Indian,female,,
Elon Musk,54,Universal,male,,
Satya Nadella,58,Universal,male,,
Vanessa Nakate,29,Ugandan,female,,
Nemonte Nenquimo,39,Ecuadorian,female,,
Lando Norris,26,British,male,,
Lupita Nyong'o,43,Universal,female,,
Michelle Obama,62,American,female,,
Shohei Ohtani,31,Japanese,male,,
Jenna Ortega,23,American,female,,
Naomi Osaka,28,Japanese,female,,
Asisat Oshoala,31,Nigerian,female,,
Deepika Padukone,40,Indian,female,,
Rishabh Pant,28,Indian,male,,
Pedro Pascal,51,Chilean,male,,
Autumn Peltier,21,Canadian,female,,
Oscar Piastri,25,Australian,male,,
Sundar Pichai,53,Universal,male,,
Diamond Platnumz,36,Tanzanian,male,,
Florence Pugh,30,British,female,,
Vladimir Putin,73,Russian,male,,
Ke Huy Quan,54,Vietnamese,male,,
Cyril Ramaphosa,73,South African,male,,
Bella Ramsey,22,British,non-binary,,
Maria Ressa,62,Filipino,female,,
Sha'Carri Richardson,26,American,female,,
Rihanna,38,Barbadian,female,,
Margot Robbie,35,Australian,female,,
Cristiano Ronaldo,41,Portuguese,male,,
Arundhati Roy,64,Indian,female,,
Holger Rune,23,Danish,male,,
William Ruto,59,Kenyan,male,,
Aryna Sabalenka,27,Belarusian,female,,
Dua Saleh,31,Sudanese,non-binary,,
Mohammed bin Salman,40,Saudi,male,,
Tiwa Savage,46,Nigerian,female,,
Travis Scott,34,American,male,,
Yara Shahidi,26,American,female,,
Anoushka Shankar,44,Indian,female,,
Sri Sri Ravi Shankar,69,Indian,male,,
Ed Sheeran,35,British,male,,
Claudia Sheinbaum,63,Mexican,female,,
Jay Shetty,38,British,male,,
Mikaela Shiffrin,31,American,female,,
Vandana Shiva,73,Indian,female,,
Lula da Silva,80,Brazilian,male,,
Ranveer Singh,40,Indian,male,,
Hamed Sinno,37,Lebanese,non-binary,,
Alexander Skarsgård,49,Swedish,male,,
Sam Smith,33,British,non-binary,,
Steven Spielberg,79,American,male,,
Sid Sriram,35,Indian,male,,
Keir Starmer,63,British,male,,
Ayra Starr,23,Nigerian,female,,
Stromae,41,Belgian,male,,
Lisa Su,56,Universal,female,,
Tash Sultana,30,Australian,non-binary,,
Iga Świątek,24,Polish,female,,
Taylor Swift,36,American,female,,
Anya Taylor-Joy,29,Argentine,female,,
Greta Thunberg,23,Swedish,female,,
Bola Tinubu,74,Nigerian,male,,
Olga Tokarczuk,64,Polish,female,,
Guillermo del Toro,61,Mexican,male,,
Justin Trudeau,54,Canadian,male,,
Tyla,24,South African,female,,
Neil deGrasse Tyson,67,American,male,,
Alok Vaid-Menon,34,American,non-binary,,
Leo Varadkar,47,Irish,male,,
Sasha Velour,38,American,non-binary,,
Taika Waititi,50,New Zealander,male,,
Morgan Wallen,32,American,male,,
Abby Wambach,45,American,female,,
Jackson Wang,32,Hong Konger,male,,
Alex Warren,25,American,male,,
The Weeknd,36,Canadian,male,,
Tang Wei,46,Chinese,female,,
Ai Weiwei,68,Chinese,male,,
Justin Welby,70,British,male,,
Rowan Williams,75,British,male,,
Jamie Windust,29,British,non-binary,,
Cameron Winter,26,American,male,,
Lamine Yamal,18,Spanish,male,,
Michelle Yeoh,63,Malaysian,female,,
Lola Young,25,British,female,,
Malala Yousafzai,28,Pakistani,female,,
Shaykh Hamza Yusuf,66,American,male,,
Volodymyr Zelenskyy,48,Ukrainian,male,,
Pan Zhanle,21,Chinese,male,,
Mark Zuckerberg,41,American,male,,
Novak Djokovic,37,Serbian,male,,
Rafael Nadal,38,Spanish,male,,
Roger Federer,43,Swiss,male,,
Jannik Sinner,23,Italian,male,,
Daniil Medvedev,28,Russian,male,,
Alexander Zverev,27,German,male,,
Stefanos Tsitsipas,26,Greek,male,,
Tommy Paul,27,American,male,,
Jack Draper,23,British,male,,
Ben Shelton,22,American,male,,
Felix Auger-Aliassime,24,Canadian,male,,
Grigor Dimitrov,33,Bulgarian,male,,
Elena Rybakina,25,Kazakhstani,female,,
Jessica Pegula,31,American,female,,
Emma Raducanu,22,British,female,,
Madison Keys,30,American,female,,
Jasmine Paolini,29,Italian,female,,
Barbora Krejčíková,29,Czech,female,,
Markéta Vondroušová,25,Czech,female,,
Elina Svitolina,30,Ukrainian,female,,
Mirra Andreeva,18,Russian,female,,
Danielle Collins,31,American,female,,
Max Verstappen,27,Dutch,male,,
Carlos Sainz,30,Spanish,male,,
George Russell,27,British,male,,
Fernando Alonso,43,Spanish,male,,
Sergio Pérez,34,Mexican,male,,
Yuki Tsunoda,24,Japanese,male,,
Zhou Guanyu,25,Chinese,male,,
Valtteri Bottas,35,Finnish,male,,
Robert Lewandowski,36,Polish,male,,
Harry Kane,31,British,male,,
Mohamed Salah,32,Egyptian,male,,
Sadio Mané,32,Senegalese,male,,
Bukayo Saka,23,British,male,,
Jude Bellingham,21,British,male,,
Pedri,22,Spanish,male,,
Virgil van Dijk,33,Dutch,male,,
Rodri,28,Spanish,male,,
Bruno Fernandes,30,Portuguese,male,,
Victor Osimhen,26,Nigerian,male,,
Achraf Hakimi,26,Moroccan,male,,
Neymar,33,Brazilian,male,,
Phil Foden,24,British,male,,
Marcus Rashford,27,British,male,,
Declan Rice,26,British,male,,
Julián Álvarez,24,Argentine,male,,
Antoine Griezmann,35,French,male,,
Marta,39,Brazilian,female,,
Alex Morgan,35,American,female,,
Christine Sinclair,41,Canadian,female,,
Vivianne Miedema,28,Dutch,female,,
Aitana Bonmatí,27,Spanish,female,,
Alexia Putellas,31,Spanish,female,,
Beth Mead,30,British,female,,
Keira Walsh,27,British,female,,
Lena Oberdorf,23,German,female,,
Sam Kerr,31,Australian,female,,
Thembi Kgatlana,29,South African,female,,
Trinity Rodman,23,American,female,,
Sophia Smith,24,American,female,,
Naomi Girma,25,American,female,,
Kevin Durant,36,American,male,,
Stephen Curry,37,American,male,,
Giannis Antetokounmpo,30,Universal,male,,
Nikola Jokić,29,Serbian,male,,
Joel Embiid,30,Cameroonian,male,,
Jayson Tatum,27,American,male,,
Luka Dončić,25,Slovenian,male,,
Shai Gilgeous-Alexander,26,Canadian,male,,
A'ja Wilson,28,American,female,,
Breanna Stewart,30,American,female,,
Sabrina Ionescu,27,American,female,,
Angel Reese,22,American,female,,
Paige Bueckers,23,American,female,,
Eliud Kipchoge,40,Kenyan,male,,
Noah Lyles,27,American,male,,
Mondo Duplantis,25,Universal,male,,
Léon Marchand,22,French,male,,
Caeleb Dressel,28,American,male,,
Adam Peaty,30,British,male,,
Tadej Pogačar,26,Slovenian,male,,
Jonas Vingegaard,27,Danish,male,,
Rory McIlroy,35,Irish,male,,
Scottie Scheffler,27,American,male,,
Marcell Jacobs,30,Italian,male,,
Antoine Dupont,28,French,male,,
Joshua Cheptegei,28,Ugandan,male,,
Anthony Joshua,35,Universal,male,,
Tyson Fury,36,British,male,,
Canelo Álvarez,34,Mexican,male,,
Oleksandr Usyk,38,Ukrainian,male,,
Sydney McLaughlin-Levrone,25,American,female,,
Faith Kipyegon,31,Kenyan,female,,
Beatrice Chebet,24,Kenyan,female,,
Athing Mu,23,American,female,,
Gabby Thomas,28,American,female,,
Yulimar Rojas,29,Venezuelan,female,,
Rebeca Andrade,25,Brazilian,female,,
Suni Lee,22,American,female,,
Jordan Chiles,23,American,female,,
Katie Ledecky,27,American,female,,
Sarah Sjöström,31,Swedish,female,,
Ariarne Titmus,24,Australian,female,,
Torri Huske,23,American,female,,
Nelly Korda,26,Universal,female,,
Atthaya Thitikul,21,Thai,female,,
Smriti Mandhana,28,Indian,female,,
Harmanpreet Kaur,35,Indian,female,,
Ellyse Perry,34,Australian,female,,
Beth Mooney,30,Australian,female,,
Nat Sciver-Brunt,32,British,female,,
Hayley Matthews,27,Barbadian,female,,
Ryan Reynolds,48,Canadian,male,,
Brad Pitt,61,American,male,,
Leonardo DiCaprio,50,American,male,,
Chris Evans,43,American,male,,
Chris Hemsworth,41,Australian,male,,
Ryan Gosling,44,Canadian,male,,
Will Smith,56,American,male,,
Denzel Washington,70,American,male,,
Michael B. Jordan,37,American,male,,
Daniel Kaluuya,36,British,male,,
Dev Patel,34,Universal,male,,
Riz Ahmed,42,Universal,male,,
Simu Liu,36,Universal,male,,
Paul Mescal,29,Irish,male,,
Tom Holland,28,British,male,,
Oscar Isaac,45,Guatemalan,male,,
Diego Luna,44,Mexican,male,,
Gael García Bernal,46,Mexican,male,,
Omar Sy,46,Universal,male,,
Rami Malek,43,American,male,,
Austin Butler,33,American,male,,
Jacob Elordi,27,Australian,male,,
Barry Keoghan,32,Irish,male,,
Andrew Scott,48,Irish,male,,
Ncuti Gatwa,32,Universal,male,,
Jonathan Bailey,36,British,male,,
Anthony Mackie,46,American,male,,
Sterling K. Brown,49,American,male,,
David Oyelowo,49,British,male,,
Chiwetel Ejiofor,47,British,male,,
Regé-Jean Page,37,Universal,male,,
Zendaya,28,American,female,,
Jennifer Lawrence,34,American,female,,
Emma Stone,36,American,female,,
Saoirse Ronan,30,Irish,female,,
Millie Bobby Brown,21,British,female,,
Sydney Sweeney,27,American,female,,
Hailee Steinfeld,27,American,female,,
Eva Green,44,French,female,,
Cate Blanchett,55,Australian,female,,
Angela Bassett,66,American,female,,
Taraji P. Henson,54,American,female,,
Kerry Washington,48,American,female,,
Keke Palmer,31,American,female,,
Quinta Brunson,35,American,female,,
Issa Rae,40,American,female,,
Mindy Kaling,45,Indian,female,,
Sandra Oh,53,Universal,female,,
Awkwafina,36,American,female,,
Gemma Chan,42,British,female,,
Nicola Coughlan,38,Irish,female,,
Simone Ashley,30,Universal,female,,
Jodie Comer,32,British,female,,
Olivia Colman,51,British,female,,
Alicia Vikander,36,Swedish,female,,
Sofia Boutella,42,Algerian,female,,
Ruth Negga,42,Universal,female,,
Letitia Wright,31,Universal,female,,
Danai Gurira,47,Zimbabwean,female,,
America Ferrera,40,American,female,,
Salma Hayek,58,Mexican,female,,
Penélope Cruz,50,Spanish,female,,
Charlize Theron,50,South African,female,,
Nicole Kidman,57,Australian,female,,
Halle Berry,58,American,female,,
Naomi Ackie,32,British,female,,
Ranbir Kapoor,42,Indian,male,,
Hrithik Roshan,51,Indian,male,,
Ayushmann Khurrana,40,Indian,male,,
Dulquer Salmaan,38,Indian,male,,
Allu Arjun,43,Indian,male,,
Ram Charan,39,Indian,male,,
Jr. NTR,42,Indian,male,,
Vijay,50,Indian,male,,
Dhanush,41,Indian,male,,
Alia Bhatt,32,Indian,female,,
Rashmika Mandanna,28,Indian,female,,
Taapsee Pannu,37,Indian,female,,
Ananya Panday,26,Indian,female,,
Aishwarya Rai,51,Indian,female,,
Vidya Balan,46,Indian,female,,
Tabu,54,Indian,female,,
Janhvi Kapoor,28,Indian,female,,
Park Seo-joon,36,South Korean,male,,
Lee Jung-jae,52,South Korean,male,,
Lee Min-ho,37,South Korean,male,,
Gong Yoo,45,South Korean,male,,
Hyun Bin,42,South Korean,male,,
Kim Soo-hyun,37,South Korean,male,,
Park Chan-wook,62,South Korean,male,,
IU,31,South Korean,female,,
Song Hye-kyo,43,South Korean,female,,
Kim Go-eun,33,South Korean,female,,
Han So-hee,30,South Korean,female,,
Kim Tae-ri,34,South Korean,female,,
Liu Yifei,38,Chinese,female,,
Zhang Ziyi,46,Chinese,female,,
Dilraba Dilmurat,32,Uyghur,female,,
Gong Li,59,Chinese,female,,
Zhao Wei,47,Chinese,female,,
Harry Styles,31,British,male,,
Zayn Malik,31,Universal,male,,
Shawn Mendes,26,Canadian,male,,
Bruno Mars,39,American,male,,
Usher,46,American,male,,
Leon Bridges,36,American,male,,
Brent Faiyaz,29,American,male,,
Martin Garrix,28,Dutch,male,,
David Guetta,57,French,male,,
Ariana Grande,32,American,female,,
Nicki Minaj,42,Trinidadian,female,,
Cardi B,32,American,female,,
Megan Thee Stallion,30,American,female,,
SZA,35,American,female,,
Lizzo,37,American,female,,
Doja Cat,29,American,female,,
Olivia Rodrigo,22,American,female,,
Sabrina Carpenter,26,American,female,,
Chappell Roan,27,American,female,,
Lady Gaga,38,American,female,,
Katy Perry,40,American,female,,
Miley Cyrus,32,American,female,,
Lana Del Rey,39,American,female,,
Alicia Keys,44,American,female,,
H.E.R.,27,American,female,,
Victoria Monét,31,American,female,,
Summer Walker,28,American,female,,
Arlo Parks,26,British,female,,
Raye,27,British,female,,
Jorja Smith,27,British,female,,
Florence Welch,38,British,female,,
Ellie Goulding,38,British,female,,
Aurora,29,Norwegian,female,,
Robyn,46,Swedish,female,,
Björk,59,Icelandic,female,,
Mitski,34,Universal,female,,
Beabadoobee,25,Universal,female,,
Kendrick Lamar,37,American,male,,
J. Cole,40,American,male,,
ASAP Rocky,36,American,male,,
Jack Harlow,26,American,male,,
Stormzy,31,British,male,,
Dave,27,British,male,,
Little Simz,31,British,female,,
Ninho,27,French,male,,
Jay Park,37,Universal,male,,
J Balvin,39,Colombian,male,,
Maluma,30,Colombian,male,,
Rauw Alejandro,31,Puerto Rican,male,,
Peso Pluma,25,Mexican,male,,
Feid,32,Colombian,male,,
Daddy Yankee,47,Puerto Rican,male,,
Ozuna,32,Puerto Rican,male,,
Karol G,33,Colombian,female,,
Rosalía,31,Spanish,female,,
Shakira,47,Colombian,female,,
Jennifer Lopez,55,American,female,,
Camila Cabello,28,Cuban,female,,
Anitta,31,Brazilian,female,,
Becky G,27,American,female,,
Jessie Reyez,33,Universal,female,,
Burna Boy,33,Nigerian,male,,
WizKid,34,Nigerian,male,,
Davido,31,Nigerian,male,,
Rema,24,Nigerian,male,,
Omah Lay,27,Nigerian,male,,
Asake,29,Nigerian,male,,
Black Sherif,23,Ghanaian,male,,
Nasty C,28,South African,male,,
Khaligraph Jones,32,Kenyan,male,,
Focalistic,29,South African,male,,
Tems,30,Nigerian,female,,
Simi,36,Nigerian,female,,
Yemi Alade,35,Nigerian,female,,
Fatoumata Diawara,42,Malian,female,,
Oumou Sangaré,55,Malian,female,,
Asa,38,Nigerian,female,,
Sho Madjozi,32,South African,female,,
Ami Faku,30,South African,female,,
RM,30,South Korean,male,,
V,29,South Korean,male,,
Jungkook,27,South Korean,male,,
G-Dragon,36,South Korean,male,,
Kai,31,South Korean,male,,
Felix,24,Universal,male,,
Taeyong,30,South Korean,male,,
BLACKPINK Lisa,27,Thai,female,,
BLACKPINK Jennie,29,South Korean,female,,
BLACKPINK Rosé,27,Universal,female,,
BLACKPINK Jisoo,29,South Korean,female,,
TWICE Nayeon,29,South Korean,female,,
TWICE Tzuyu,25,Taiwanese,female,,
aespa Karina,24,South Korean,female,,
NewJeans Hanni,21,Universal,female,,
Taeyeon,35,South Korean,female,,
Hwasa,29,South Korean,female,,
Rishi Sunak,44,British,male,,
Olaf Scholz,66,German,male,,
Pedro Sánchez,52,Spanish,male,,
Viktor Orbán,61,Hungarian,male,,
Abiy Ahmed,48,Ethiopian,male,,Akhmed|Akmed|Ahmed
Paul Kagame,66,Rwandan,male,,
Prabowo Subianto,73,Indonesian,male,,
Anwar Ibrahim,77,Malaysian,male,,
Lee Hsien Loong,72,Singaporean,male,,
Hakainde Hichilema,62,Zambian,male,,
Shigeru Ishiba,67,Japanese,male,,
Andrzej Duda,52,Polish,male,,
Aleksander Vučić,54,Serbian,male,,
Jacinda Ardern,44,New Zealander,female,,
Christine Lagarde,69,French,female,,
Ngozi Okonjo-Iweala,71,Nigerian,female,,
Erna Solberg,63,Norwegian,female,,
Magdalena Andersson,57,Swedish,female,,
Roberta Metsola,46,Maltese,female,,
Nicola Sturgeon,55,Scottish,female,,
Amina J. Mohammed,62,Nigerian,female,,
Michelle Bachelet,74,Chilean,female,,
Janet Yellen,79,American,female,,
Andy Jassy,57,American,male,,
Brian Chesky,43,American,male,,
Jack Dorsey,48,American,male,,
Daniel Ek,41,Swedish,male,,
Patrick Collison,36,Irish,male,,
Yann LeCun,65,French,male,,
Yoshua Bengio,60,Canadian,male,,
Geoffrey Hinton,77,Universal,male,,
Andrew Ng,48,Universal,male,,
Demis Hassabis,48,British,male,,
Mustafa Suleyman,40,British,male,,
Dario Amodei,42,American,male,,
Tim Berners-Lee,70,British,male,,
Mary Barra,63,American,female,,
Sheryl Sandberg,55,American,female,,
Whitney Wolfe Herd,35,American,female,,
Reshma Saujani,50,American,female,,
Safra Catz,63,Universal,female,,
Anne Wojcicki,51,American,female,,
Brian Cox,57,British,male,,
Michio Kaku,78,American,male,,
Chris Hadfield,65,Canadian,male,,
Haruki Murakami,76,Japanese,male,,
Kazuo Ishiguro,71,Universal,male,,
Mohsin Hamid,52,Pakistani,male,,
Ngugi wa Thiong'o,86,Kenyan,male,,
Salman Rushdie,77,Universal,male,,
Jennifer Doudna,61,American,female,,
Katalin Karikó,69,Hungarian,female,,
Emmanuelle Charpentier,56,French,female,,
Frances Arnold,68,American,female,,
Roxane Gay,51,American,female,,
Jesmyn Ward,49,American,female,,
Zadie Smith,49,British,female,,
Fatima Bhutto,42,Pakistani,female,,
Ahdaf Soueif,71,Egyptian,female,,
Kehinde Wiley,48,American,male,,
Alfonso Cuarón,62,Mexican,male,,
Wes Anderson,55,American,male,,
Ava DuVernay,52,American,female,,
Chloé Zhao,42,Universal,female,,
Céline Sciamma,45,French,female,,
Elliot Page,38,Canadian,male,he/him,
Jonathan Van Ness,37,American,non-binary,,
Demi Lovato,32,American,non-binary,,
Willow Smith,24,American,non-binary,,
Moses Sumney,33,American,non-binary,,
Yves Tumor,33,American,non-binary,,
Perfume Genius,43,American,non-binary,,
Jacob Tobia,33,American,non-binary,,
Asia Kate Dillon,40,American,non-binary,,
Amandla Stenberg,26,American,non-binary,,
Yungblud,27,British,non-binary,,
Cara Delevingne,32,British,non-binary,,
Arca,34,Venezuelan,non-binary,,
Anohni,54,British,non-binary,,
Keiynan Lonsdale,32,Australian,non-binary,,
Yasmin Benoit,28,British,non-binary,,
Kae Tempest,40,British,non-binary,,
Mykki Blanco,38,American,non-binary,,
Quannah Chasinghorse,24,Indigenous,non-binary,,
Pabllo Vittar,31,Brazilian,non-binary,,
Kehlani,30,American,non-binary,,
Ibeyi,30,Universal,non-binary,,
Kim Petras,32,German,female,,
Jeffrey Marsh,48,American,non-binary,,
Ezra Furman,38,American,non-binary,,
CN Lester,36,British,non-binary,,
Rain Dove,39,American,non-binary,,
Tourmaline,38,American,non-binary,,
Big Freedia,44,American,non-binary,,
Gottmik,31,American,non-binary,,
Gigi Goode,27,American,non-binary,,
Bob the Drag Queen,37,American,non-binary,,
Symone,30,American,non-binary,,
